uid,sid
0,0
1,1
2,2
3,3
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
19,19
20,20
21,21
22,22
18,23
23,24
24,25
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,17
35,35
36,36
37,37
38,38
40,40
41,41
42,43
43,44
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
32,56
6,59
57,60
58,62
43,63
59,64
21,65
60,66
61,40
62,17
63,67
64,68
65,69
17,71
47,73
67,74
68,75
69,76
31,77
22,76
31,78
37,79
18,22
70,80
71,81
55,82
72,83
24,84
73,85
74,86
54,87
75,88
76,89
20,90
10,91
77,93
78,94
79,95
80,92
68,97
82,99
83,100
28,101
84,23
85,91
55,102
86,103
87,104
88,22
80,105
83,4
10,106
89,108
90,109
5,111
92,112
93,113
53,112
70,115
82,116
94,6
14,117
95,118
96,119
52,94
11,123
3,124
38,125
97,126
54,17
17,127
95,128
58,130
3,131
98,133
61,135
99,136
100,137
22,83
28,118
39,21
101,140
15,63
103,141
104,108
80,31
105,142
55,143
106,144
107,140
108,145
110,146
111,147
8,140
75,149
112,138
67,150
5,151
113,153
114,154
110,155
46,156
58,31
115,157
38,158
70,159
20,98
90,162
116,123
25,98
68,164
115,165
116,166
65,167
117,168
118,169
119,159
58,171
120,136
65,172
121,173
56,101
122,174
48,175
35,176
101,177
8,120
124,179
125,180
126,181
33,182
127,29
128,185
17,52
126,186
87,187
22,133
129,188
100,189
9,133
130,190
131,192
30,193
37,194
8,195
17,196
54,197
133,198
11,199
12,200
134,98
47,201
15,202
10,203
65,161
30,205
136,207
77,44
75,208
22,210
17,79
138,211
110,165
110,147
113,157
139,179
127,212
140,213
141,173
142,214
110,215
19,218
35,116
25,221
38,92
93,222
41,224
100,226
11,56
116,11
147,31
63,230
149,93
150,66
20,12
75,232
30,156
35,233
41,234
58,235
118,236
76,77
153,114
41,237
154,238
55,25
155,223
131,239
24,118
156,240
157,241
154,242
152,243
3,160
58,244
131,238
158,168
76,68
159,239
12,40
161,246
162,211
91,247
35,248
162,221
118,249
118,250
162,251
130,228
90,252
91,242
153,144
95,256
70,257
149,258
23,259
164,261
166,263
67,264
167,265
27,266
71,267
58,216
133,269
114,64
169,217
170,1
12,102
131,273
171,274
83,275
83,276
147,278
70,103
54,13
128,279
173,280
83,283
8,284
105,285
90,286
116,287
39,288
174,251
98,144
176,102
58,214
17,291
23,294
100,295
90,6
110,296
128,297
104,298
154,59
177,289
19,300
167,140
25,301
100,302
38,303
19,304
147,136
123,305
26,306
47,308
179,309
180,311
3,307
75,312
127,313
129,273
67,314
181,315
144,316
45,317
169,318
182,20
65,232
70,320
110,314
68,118
103,321
28,322
58,91
52,323
111,324
97,325
183,326
103,58
91,68
184,216
35,327
18,328
82,329
41,271
60,330
35,331
42,24
81,182
81,333
65,334
103,311
11,60
185,336
186,337
138,34
102,339
82,340
187,22
41,341
188,148
189,98
132,78
165,342
35,343
63,344
118,59
15,345
159,347
70,348
140,201
68,349
190,254
191,351
53,352
6,266
38,258
192,353
193,78
100,30
180,135
136,354
51,240
32,357
93,95
12,358
159,118
162,359
27,360
58,76
5,21
195,361
10,362
43,363
130,364
27,365
65,367
73,368
143,101
15,113
117,369
53,79
196,370
185,371
145,372
90,373
197,85
116,198
90,375
198,302
199,376
67,76
182,377
200,86
145,268
37,378
19,359
35,380
175,381
68,382
93,383
39,384
176,4
23,66
194,386
201,387
110,388
181,389
85,390
202,391
141,393
19,394
80,395
145,396
91,36
203,397
3,6
80,360
34,86
8,309
20,92
204,52
205,242
75,398
30,249
80,339
90,400
116,401
115,402
119,403
95,242
10,297
37,13
35,402
207,404
208,278
23,405
143,363
70,310
104,407
100,408
58,409
100,225
184,410
211,196
138,411
70,412
166,413
2,414
133,415
75,417
100,29
64,418
5,52
212,331
214,113
215,419
216,420
136,338
39,49
211,52
217,280
43,421
58,422
37,423
3,324
63,216
218,0
10,87
37,424
140,186
70,64
205,315
60,258
119,309
55,17
118,179
58,425
220,360
120,245
221,94
3,377
222,427
38,428
47,111
47,364
24,162
19,429
33,12
181,189
185,139
100,238
116,430
93,431
55,433
54,226
117,189
65,143
65,435
56,436
43,437
223,302
224,438
114,9
111,439
179,440
145,332
80,441
225,442
111,443
226,50
73,408
37,317
70,321
53,445
118,199
23,446
227,166
70,447
35,403
12,229
19,448
80,86
228,166
180,102
177,144
75,450
229,420
206,451
105,1
230,40
2,328
19,200
120,86
110,452
90,453
38,454
110,338
131,399
196,455
32,456
65,58
184,457
119,458
231,29
19,188
205,69
37,239
16,460
102,433
41,130
35,461
138,435
41,463
233,196
68,57
95,278
37,52
58,306
208,147
70,37
234,466
71,403
203,95
35,344
126,328
98,467
58,468
7,339
55,469
157,81
18,470
110,106
96,471
19,405
235,117
179,379
151,472
236,436
122,473
86,445
237,60
238,117
26,423
157,161
80,475
1,476
92,465
214,477
38,436
105,478
10,208
55,196
47,479
102,3
157,5
88,410
176,187
11,480
80,157
35,481
14,191
128,111
194,483
113,484
121,200
19,485
54,231
239,486
92,458
219,487
17,161
90,296
21,488
240,49
202,40
35,489
80,408
35,490
11,240
137,491
226,492
65,403
175,493
3,368
35,136
92,154
3,256
118,6
158,86
22,16
90,495
184,130
81,399
10,437
47,114
224,56
37,95
151,183
121,302
124,170
8,496
182,498
38,283
52,499
166,139
39,500
175,501
88,502
146,387
220,98
131,34
52,144
226,496
56,505
98,506
209,357
195,423
126,482
40,51
15,456
67,283
242,507
75,510
11,153
70,394
144,379
55,84
67,240
202,74
3,511
9,404
135,175
117,154
26,58
167,512
175,513
189,404
114,180
51,12
87,192
158,31
107,77
127,244
9,157
8,67
162,514
11,288
75,515
117,9
194,170
244,48
245,516
72,253
41,506
169,364
35,165
181,476
102,517
103,220
70,123
62,229
147,307
107,364
110,520
28,299
239,141
229,522
56,502
53,201
102,182
127,151
65,523
38,524
54,205
42,525
118,526
19,440
70,527
246,239
38,197
95,216
124,200
0,528
38,531
117,532
218,216
75,392
23,533
131,389
174,534
206,346
99,364
92,535
247,432
125,24
176,184
175,150
184,537
221,487
144,217
15,208
193,292
167,131
90,166
184,34
176,538
118,140
15,539
60,540
85,157
184,541
9,191
102,401
87,543
162,295
46,376
58,544
41,81
58,545
140,546
154,182
70,547
75,548
208,356
102,479
184,29
58,549
17,172
228,550
181,185
52,110
136,551
10,356
85,29
97,465
116,553
142,554
215,50
226,31
239,261
116,555
100,350
11,556
38,212
119,12
13,247
184,502
191,547
45,557
90,558
99,403
147,6
78,559
18,560
136,417
226,502
30,561
207,97
3,161
147,194
249,151
250,99
83,203
143,562
133,563
19,46
51,232
68,148
41,50
210,413
58,52
248,476
169,552
224,154
37,497
53,29
127,114
35,565
181,293
121,566
221,166
137,567
61,156
202,569
252,570
40,491
253,62
10,9
18,544
99,572
121,390
17,359
181,320
215,302
144,89
35,213
213,177
144,29
54,576
73,357
254,438
132,578
111,579
18,414
255,189
76,580
37,135
127,347
26,581
256,101
105,582
121,197
11,469
37,5
10,574
67,61
127,320
27,49
144,504
80,584
102,86
55,31
15,528
223,357
167,585
162,31
68,587
231,505
114,588
208,589
12,335
41,577
38,264
0,377
166,66
53,53
91,356
129,590
38,199
11,591
108,176
23,592
245,564
95,131
52,181
182,593
257,153
175,497
121,203
85,121
257,280
35,133
151,444
210,77
62,596
144,86
22,597
68,331
30,598
118,337
196,151
191,160
18,87
139,145
9,599
260,600
140,140
162,601
261,10
17,262
24,208
51,10
25,602
248,314
2,46
116,604
113,52
35,605
96,101
70,408
263,169
264,471
58,452
15,544
131,217
158,290
231,140
126,200
59,561
110,607
184,102
120,608
90,526
265,217
62,57
95,34
76,609
205,302
266,206
47,275
143,610
39,611
192,608
153,157
221,612
224,77
214,496
19,31
17,557
90,613
16,283
254,49
96,239
156,0
62,614
46,82
127,615
116,104
97,293
117,485
52,145
124,367
3,527
82,53
98,13
190,371
33,617
16,618
171,144
70,190
267,116
268,339
237,82
105,208
15,183
227,619
252,497
269,620
119,372
92,68
235,236
116,610
185,52
109,622
17,254
119,513
96,623
35,624
140,148
65,590
88,321
3,88
177,268
202,598
131,93
35,626
76,553
12,433
231,10
254,220
129,297
87,201
8,174
92,413
1,627
139,96
254,221
118,12
262,144
202,135
90,629
230,630
127,631
70,633
75,217
111,634
163,608
154,635
114,179
54,347
39,512
35,98
153,509
7,207
19,182
22,336
113,24
81,101
32,96
209,637
93,394
267,243
169,523
182,479
111,24
37,240
10,479
68,638
93,423
228,273
246,614
269,117
74,640
